att_metadataReference,has_keyword_hit,decision_type_label,case_caseCompanies,case_caseInitiationDate,case_caseLastDecisionDate,case_caseInstrument,case_caseNumber,case_caseRegulation,case_caseSimplified,case_caseTitle,dec_decisionAdoptionDate,dec_decisionNumber,dec_decisionOfficialJournalPublicationsPublishedDates,dec_decisionTypes_code,dec_decisionTypes_label,dec_language,dec_metadataReference
M.7873-DEC{B7A9913D-4B96-4A76-BC96-0D3934DE2A17}-ATT1821,true,Art. 6(1)(b) with conditions & obligations,,2015-11-16,2017-03-14,Merger,M.7873,Council Regulation 139/2004,Normal,WORLDLINE / EQUENS / PAYSQUARE,2016-04-20,B7A9913D-4B96-4A76-BC96-0D3934DE2A17,2017-08-23,DecisionType20212,Art. 6(1)(b) with conditions & obligations,en,M.7873-DEC{B7A9913D-4B96-4A76-BC96-0D3934DE2A17}
M.6543-DEC46594-ATT100,false,Art. 6(1)(b),AHOLD / FLEVO,2012-03-27,2012-05-07,Merger,M.6543,Council Regulation 139/2004,Normal procedure,AHOLD / FLEVO,2012-05-07,46594,2013-06-28,DecisionType20310,Art. 6(1)(b),en,M.6543-DEC46594
M.7872-DEC48559-ATT329,false,Art. 6(1)(b),NOVARTIS / GSK (OFATUMUMAB OUTOIMMUNE INDICATIONS),2015-11-18,2015-12-18,Merger,M.7872,Council Regulation 139/2004,Normal procedure,NOVARTIS / GSK (OFATUMUMAB OUTOIMMUNE INDICATIONS),2015-12-18,48559,2016-01-22,DecisionType20310,Art. 6(1)(b),en,M.7872-DEC48559
M.6540-DEC46597-ATT142,false,Art. 6(1)(b),DONG ENERGY BORKUM RIFFGRUND I HOLDCO / INVESTOR HOLDCO / BORKUM RIFFGRUND I OFFSHORE WINDPARK | DONG ENERGY BORKUM RIFFGRUND I HOLDCO / BOSTON HOLDING / BORKUM RIFFGRUND I OFFSHORE WINDPARK,2012-03-29,2012-05-10,Merger,M.6540,Council Regulation 139/2004,Normal procedure,DONG ENERGY BORKUM RIFFGRUND I HOLDCO / BOSTON HOLDING / BORKUM RIFFGRUND I OFFSHORE WINDPARK,2012-05-10,46597,2012-08-07,DecisionType20310,Art. 6(1)(b),en,M.6540-DEC46597
M.7871-DEC48621-ATT130,false,Art. 6(1)(b),BOMBARDIER / CDPQ / BOMBARDIER TRANSPORTATION UK,2015-12-17,2016-01-29,Merger,M.7871,Council Regulation 139/2004,Normal procedure,BOMBARDIER / CDPQ / BOMBARDIER TRANSPORTATION UK,2016-01-29,48621,2016-04-30,DecisionType20310,Art. 6(1)(b),en,M.7871-DEC48621
M.6541-DEC46858-ATT7449,false,Art. 6(1)(b) with conditions & obligations,GLENCORE / XSTRATA,2012-10-02,2012-11-22,Merger,M.6541,Council Regulation 139/2004,Normal procedure,GLENCORE / XSTRATA,2012-11-22,46858,2014-04-11,DecisionType20212,Art. 6(1)(b) with conditions & obligations,en,M.6541-DEC46858
M.7870-DEC48583-ATT158,false,Art. 6(1)(b),FONDO STRATEGICO ITALIANO / ENI / SAIPEM,2015-11-26,2016-01-11,Merger,M.7870,Council Regulation 139/2004,Normal procedure,FONDO STRATEGICO ITALIANO / ENI / SAIPEM,2016-01-11,48583,2016-02-06,DecisionType20310,Art. 6(1)(b),en,M.7870-DEC48583
M.6548-DEC46618-ATT101,false,Art. 6(1)(b),RGM / ALPINE BAU / JV,2012-04-23,2012-05-25,Merger,M.6548,Council Regulation 139/2004,Simplified procedure,RGM / ALPINE BAU / JV,2012-05-25,46618,2012-06-02,DecisionType20310,Art. 6(1)(b),en,M.6548-DEC46618
M.7879-DEC48578-ATT102,false,Art. 6(1)(b),SAUDI ARAMCO / LANXESS / JV,2015-12-04,2016-01-08,Merger,M.7879,Council Regulation 139/2004,Simplified procedure,SAUDI ARAMCO / LANXESS / JV,2016-01-08,48578,2016-01-29,DecisionType20310,Art. 6(1)(b),en,M.7879-DEC48578
M.7878-DEC48848-ATT4026,false,Art. 4(4) - Partial referral,HEIDELBERGCEMENT / SCHWENK / CEMEX CROATIA / CEMEX HUNGARY | HEIDELBERGCEMENT / SCHWENK / CEMEX HUNGARY / CEMEX CROATIA,2016-09-05,2017-04-05,Merger,M.7878,Council Regulation 139/2004,Normal procedure,HEIDELBERGCEMENT / SCHWENK / CEMEX HUNGARY / CEMEX CROATIA,2016-06-22,48848,,DecisionType201203,Art. 4(4) - Partial referral,en,M.7878-DEC48848
M.7878-DEC49363-ATT3994,false,Art. 8(3),HEIDELBERGCEMENT / SCHWENK / CEMEX CROATIA / CEMEX HUNGARY | HEIDELBERGCEMENT / SCHWENK / CEMEX HUNGARY / CEMEX CROATIA,2016-09-05,2017-04-05,Merger,M.7878,Council Regulation 139/2004,Normal procedure,HEIDELBERGCEMENT / SCHWENK / CEMEX HUNGARY / CEMEX CROATIA,2017-04-05,49363,2017-12-21,DecisionType20610,Art. 8(3),en,M.7878-DEC49363
M.6546-DEC46652-ATT109,false,Art. 6(1)(b),ERICSSON / TECHNICOLOR BROADCASTING SERVICES,2012-05-25,2012-06-22,Merger,M.6546,Council Regulation 139/2004,Simplified procedure,ERICSSON / TECHNICOLOR BROADCASTING SERVICES,2012-06-22,46652,2012-07-03,DecisionType20310,Art. 6(1)(b),en,M.6546-DEC46652
M.7877-DEC48792-ATT184,false,Art. 6(1)(b),WARBURG PINCUS / GENERAL ATLANTIC / UNICREDIT / SANTANDER / SAM / PIONEER | WARBURG PINCUS / GENERAL ATLANTIC / SANTANDER / SAM / PIONEER,2016-04-15,2016-05-26,Merger,M.7877,Council Regulation 139/2004,Normal procedure,WARBURG PINCUS / GENERAL ATLANTIC / UNICREDIT / SANTANDER / SAM / PIONEER,2016-05-26,48792,2016-07-21,DecisionType20310,Art. 6(1)(b),en,M.7877-DEC48792
M.6547-DEC46513-ATT102,false,Art. 4(4) - Full referral,ANTENA 3 / LA SEXTA,,2012-03-14,Merger,M.6547,Council Regulation 139/2004,Normal procedure,ANTENA 3 / LA SEXTA,2012-03-14,46513,,DecisionType201220,Art. 4(4) - Full referral,en,M.6547-DEC46513
