att_metadataReference,has_keyword_hit,decision_type_label,case_caseCompanies,case_caseInitiationDate,case_caseLastDecisionDate,case_caseInstrument,case_caseNumber,case_caseRegulation,case_caseSimplified,case_caseTitle,dec_decisionAdoptionDate,dec_decisionNumber,dec_decisionOfficialJournalPublicationsPublishedDates,dec_decisionTypes_code,dec_decisionTypes_label,dec_language,dec_metadataReference
M.3132-DEC41623-ATT3,false,Art. 6(1)(b),SASOL / MITSUBISHI CHEMICAL / JV,2003-08-12,2003-09-11,Merger,M.3132,Council Regulation 4064/89,Simplified procedure,SASOL / MITSUBISHI CHEMICAL / JV,2003-09-11,41623,2003-09-19,DecisionType310,Art. 6(1)(b),en,M.3132-DEC41623
M.2286-DEC40697-ATT3,false,Art. 6(1)(b) with conditions & obligations,BUHRMANN / SAMAS OFFICE SUPPLIES,2001-02-27,2001-04-11,Merger,M.2286,Council Regulation 4064/89,Normal procedure,BUHRMANN / SAMAS OFFICE SUPPLIES,2001-04-11,40697,2003-05-17,DecisionType440,Art. 6(1)(b) with conditions & obligations,en,M.2286-DEC40697
M.670-DEC38737-ATT3,false,Art. 6(1)(b),ELSAG BAILEY / HARTMANN & BRAUN AG,1995-11-17,1995-12-20,Merger,M.670,Council Regulation 4064/89,Normal procedure,ELSAG BAILEY / HARTMANN & BRAUN AG,1995-12-20,38737,1996-01-30,DecisionType310,Art. 6(1)(b),en,M.670-DEC38737
M.2280-DEC40683-ATT3,false,Art. 6(1)(b),BASF / BERTSCHI / HOYER / VLAG / JV,2001-01-25,2001-02-23,Merger,M.2280,Council Regulation 4064/89,Simplified procedure,BASF / BERTSCHI / HOYER / VLAG / JV,2001-02-23,40683,2001-08-31,DecisionType310,Art. 6(1)(b),en,M.2280-DEC40683
M.2281-DEC40684-ATT4,false,Art. 6(1)(b),ENDESA / CDF / SNET | ENDESA / CDF / SNET (see ECSC.1352),2001-03-09,2001-04-17,Merger,M.2281,Council Regulation 4064/89,Simplified procedure,ENDESA / CDF / SNET (see ECSC.1352),2001-04-17,40684,2001-06-23,DecisionType310,Art. 6(1)(b),en,M.2281-DEC40684
M.2282-DEC40685-ATT4,false,Art. 6(1)(b),BT / ESAT DIGIFONE,2001-02-15,2001-03-16,Merger,M.2282,Council Regulation 4064/89,Normal procedure,BT / ESAT DIGIFONE,2001-03-16,40685,2002-03-15,DecisionType310,Art. 6(1)(b),en,M.2282-DEC40685
M.3139-DEC41634-ATT4,false,Art. 6(1)(b),CARLYLE / BREED TECHNOLOGIES,2003-03-14,2003-04-10,Merger,M.3139,Council Regulation 4064/89,Simplified procedure,CARLYLE / BREED TECHNOLOGIES,2003-04-10,41634,2003-04-26,DecisionType310,Art. 6(1)(b),en,M.3139-DEC41634
M.3138-DEC41633-ATT2,false,Art. 6(1)(b),HAMBURGISCHE LANDESBANK / LANDESBANK SCHLESWIG HOLSTEIN,2003-03-24,2003-04-25,Merger,M.3138,Council Regulation 4064/89,Simplified procedure,HAMBURGISCHE LANDESBANK / LANDESBANK SCHLESWIG HOLSTEIN,2003-04-25,41633,2003-05-07,DecisionType310,Art. 6(1)(b),en,M.3138-DEC41633
M.642-DEC38707-ATT3,false,Art. 6(1)(b),CHASE MANHATTAN / CHEMICAL BANKING,1995-09-26,1995-10-26,Merger,M.642,Council Regulation 4064/89,Normal procedure,CHASE MANHATTAN / CHEMICAL BANKING,1995-10-26,38707,1996-02-06,DecisionType310,Art. 6(1)(b),en,M.642-DEC38707
M.640-DEC38705-ATT3,false,Art. 6(1)(b),KNP BT / SOCIETE GENERALE,1995-09-01,1995-10-03,Merger,M.640,Council Regulation 4064/89,Normal procedure,KNP BT / SOCIETE GENERALE,1995-10-03,38705,1995-10-19,DecisionType310,Art. 6(1)(b),en,M.640-DEC38705
M.3135-DEC41626-ATT3,false,Art. 6(1)(b),SGAM4D / GUGGENHEIN / IES,2003-03-19,2003-04-16,Merger,M.3135,Council Regulation 4064/89,Simplified procedure,SGAM4D / GUGGENHEIN / IES,2003-04-16,41626,2003-05-17,DecisionType310,Art. 6(1)(b),en,M.3135-DEC41626
M.3134-DEC41625-ATT3,false,Art. 6(1)(b),ARCELOR / UMICORE / JV | ARCELOR / UMICORE / DUOLOGY JV,2003-06-02,2003-07-04,Merger,M.3134,Council Regulation 4064/89,Normal procedure,ARCELOR / UMICORE / DUOLOGY JV,2003-07-04,41625,2003-08-06,DecisionType310,Art. 6(1)(b),en,M.3134-DEC41625
M.646-DEC38711-ATT4,false,Art. 6(1)(b) with conditions & obligations,REPOLA / KYMMENE,1995-09-27,1995-10-30,Merger,M.646,Council Regulation 4064/89,Normal procedure,REPOLA / KYMMENE,1995-10-30,38711,1995-11-29,DecisionType440,Art. 6(1)(b) with conditions & obligations,en,M.646-DEC38711
M.643-DEC38708-ATT3,false,Art. 6(1)(b),CGER BANQUE / SNCI,1995-09-21,1995-10-23,Merger,M.643,Council Regulation 4064/89,Normal procedure,CGER BANQUE / SNCI,1995-10-23,38708,1995-11-08,DecisionType310,Art. 6(1)(b),en,M.643-DEC38708
M.3136-DEC41630-ATT3,false,Art. 6(1)(b) with conditions & obligations,GE / AGFA NDT,2003-05-13,2003-12-05,Merger,M.3136,Council Regulation 4064/89,Normal procedure,GE / AGFA NDT,2003-12-05,41630,2004-03-16,DecisionType440,Art. 6(1)(b) with conditions & obligations,en,M.3136-DEC41630
M.644-DEC38709-ATT3,false,Art. 6(1)(b),SWISS LIFE / INCA,1995-09-25,1995-10-25,Merger,M.644,Council Regulation 4064/89,Normal procedure,SWISS LIFE / INCA,1995-10-25,38709,1995-11-18,DecisionType310,Art. 6(1)(b),en,M.644-DEC38709
M.648-DEC38715-ATT3,false,Art. 6(1)(b),MCDERMOTT / ETPM,1995-10-23,1995-11-27,Merger,M.648,Council Regulation 4064/89,Normal procedure,MCDERMOTT / ETPM,1995-11-27,38715,1995-12-08,DecisionType310,Art. 6(1)(b),en,M.648-DEC38715
M.3142-DEC41637-ATT4,false,Art. 6(1)(b),CVC / DANSKE TRAELAST,2003-04-03,2003-05-12,Merger,M.3142,Council Regulation 4064/89,Normal procedure,CVC / DANSKE TRAELAST,2003-05-12,41637,2003-06-14,DecisionType310,Art. 6(1)(b),en,M.3142-DEC41637
M.2294-DEC40706-ATT4,false,Art. 6(1)(b),ETEXGROUP / GLYNWED PIPE SYSTEMS,2001-01-26,2001-02-28,Merger,M.2294,Council Regulation 4064/89,Normal procedure,ETEXGROUP / GLYNWED PIPE SYSTEMS,2001-02-28,40706,2001-03-24,DecisionType310,Art. 6(1)(b),en,M.2294-DEC40706
M.3141-DEC41636-ATT4,false,Art. 6(1)(b),CEMENTBOUW / ENCI / JV,2003-07-01,2003-08-01,Merger,M.3141,Council Regulation 4064/89,Normal procedure,CEMENTBOUW / ENCI / JV,2003-08-01,41636,2003-10-29,DecisionType310,Art. 6(1)(b),en,M.3141-DEC41636
M.2296-DEC40708-ATT4,false,Art. 6(1)(b),ENI / LASMO,2001-01-04,2001-02-01,Merger,M.2296,Council Regulation 4064/89,Simplified procedure,ENI / LASMO,2001-02-01,40708,2002-04-18,DecisionType310,Art. 6(1)(b),en,M.2296-DEC40708
M.2297-DEC40709-ATT4,false,Art. 6(1)(b),BP CHEMICALS / SOLVAY (PP),2001-09-27,2001-10-29,Merger,M.2297,Council Regulation 4064/89,Normal procedure,BP CHEMICALS / SOLVAY (PP),2001-10-29,40709,2001-11-22,DecisionType310,Art. 6(1)(b),en,M.2297-DEC40709
M.2290-DEC40702-ATT3,false,Art. 6(1)(b),SFK99-RAHASTO / FORTUM / NAPS SYSTEMS,2001-01-24,2001-02-22,Merger,M.2290,Council Regulation 4064/89,Simplified procedure,SFK99-RAHASTO / FORTUM / NAPS SYSTEMS,2001-02-22,40702,2001-06-26,DecisionType310,Art. 6(1)(b),en,M.2290-DEC40702
M.2291-DEC40703-ATT4,false,Art. 6(1)(b),VNU / AC NIELSEN,2001-01-11,2001-02-12,Merger,M.2291,Council Regulation 4064/89,Normal procedure,VNU / AC NIELSEN,2001-02-12,40703,2001-03-07,DecisionType310,Art. 6(1)(b),en,M.2291-DEC40703
M.3140-DEC41635-ATT3,false,Art. 6(1)(b),CINVEN / FITNESS FIRST,2003-04-10,2003-05-15,Merger,M.3140,Council Regulation 4064/89,Simplified procedure,CINVEN / FITNESS FIRST,2003-05-15,41635,2003-05-20,DecisionType310,Art. 6(1)(b),en,M.3140-DEC41635
M.2292-DEC40704-ATT3,false,Art. 6(1)(b),AEA INVESTORS / DLJMB FUNDING III / BF GOODRICH PERFORMANCE MATERIALS,2001-01-23,2001-02-22,Merger,M.2292,Council Regulation 4064/89,Simplified procedure,AEA INVESTORS / DLJMB FUNDING III / BF GOODRICH PERFORMANCE MATERIALS,2001-02-22,40704,2001-03-07,DecisionType310,Art. 6(1)(b),en,M.2292-DEC40704
M.3149-DEC41646-ATT6,false,Art. 6(1)(b) with conditions & obligations,PROCTER & GAMBLE / WELLA | PROCTER & GAMBLE  /  WELLA | PROCTER & GAMBLE  /  WELLA ,2003-06-16,2003-07-30,Merger,M.3149,Council Regulation 4064/89,Normal procedure,PROCTER & GAMBLE / WELLA,2003-07-30,41646,2003-08-19,DecisionType440,Art. 6(1)(b) with conditions & obligations,en,M.3149-DEC41646
M.650-DEC38717-ATT4,false,Art. 6(1)(a),SBG / RENTENANSTALT,1995-11-17,1995-12-20,Merger,M.650,Council Regulation 4064/89,Normal procedure,SBG / RENTENANSTALT,1995-12-20,38717,1996-01-27,DecisionType300,Art. 6(1)(a),en,M.650-DEC38717
M.651-DEC38718-ATT3,false,Art. 6(1)(b),AT&T / PHILIPS,1996-01-03,1996-02-05,Merger,M.651,Council Regulation 4064/89,Normal procedure,AT&T / PHILIPS,1996-02-05,38718,1996-04-02,DecisionType310,Art. 6(1)(b),en,M.651-DEC38718
M.3146-DEC41641-ATT3,false,Art. 6(1)(b),SMITH & NEPHEW / CENTERPULSE,2003-04-22,2003-05-27,Merger,M.3146,Council Regulation 4064/89,Normal procedure,SMITH & NEPHEW / CENTERPULSE,2003-05-27,41641,2003-07-03,DecisionType310,Art. 6(1)(b),en,M.3146-DEC41641
M.656-DEC38723-ATT4,false,Art. 6(1)(b),SEAGATE / CONNER,1995-10-13,1995-11-17,Merger,M.656,Council Regulation 4064/89,Normal procedure,SEAGATE / CONNER,1995-11-17,38723,1995-12-12,DecisionType310,Art. 6(1)(b),en,M.656-DEC38723
M.3145-DEC41640-ATT4,false,Art. 6(1)(b),XSTRATA / MIM,2003-04-08,2003-05-19,Merger,M.3145,Council Regulation 4064/89,Simplified procedure,XSTRATA / MIM,2003-05-19,41640,2003-06-05,DecisionType310,Art. 6(1)(b),en,M.3145-DEC41640
M.2299-DEC40711-ATT3,false,Art. 6(1)(b),BP CHEMICALS / SOLVAY / HDPE JV,2001-09-27,2001-10-29,Merger,M.2299,Council Regulation 4064/89,Normal procedure,BP CHEMICALS / SOLVAY / HDPE JV,2001-10-29,40711,2001-11-22,DecisionType310,Art. 6(1)(b),en,M.2299-DEC40711
M.657-DEC38724-ATT3,false,Art. 6(1)(b),RÖHM / CIBA-GEIGY - TFL LEDERTECHNIK,1995-11-24,1995-12-22,Merger,M.657,Council Regulation 4064/89,Normal procedure,RÖHM / CIBA-GEIGY - TFL LEDERTECHNIK,1995-12-22,38724,1996-02-29,DecisionType310,Art. 6(1)(b),en,M.657-DEC38724
M.3148-DEC41645-ATT4,false,Art. 6(1)(b),SIEMENS / ALSTOM GAS & STEAM TURBINES | SIEMENS / ALSTOM GAS AND STEAM TURBINES,2003-05-23,2003-07-10,Merger,M.3148,Council Regulation 4064/89,Normal procedure,SIEMENS / ALSTOM GAS AND STEAM TURBINES,2003-07-10,41645,2003-09-03,DecisionType310,Art. 6(1)(b),en,M.3148-DEC41645
M.655-DEC38722-ATT3,false,Art. 6(1)(b),CANAL+ / UFA / MDO,1995-10-09,1995-11-13,Merger,M.655,Council Regulation 4064/89,Normal procedure,CANAL+ / UFA / MDO,1995-11-13,38722,1996-01-20,DecisionType310,Art. 6(1)(b),en,M.655-DEC38722
M.659-DEC38726-ATT3,false,Art. 6(1)(b),GE CAPITAL / SOVAC,1995-10-13,1995-11-17,Merger,M.659,Council Regulation 4064/89,Normal procedure,GE CAPITAL / SOVAC,1995-11-17,38726,1995-12-02,DecisionType310,Art. 6(1)(b),en,M.659-DEC38726
M.3152-DEC41650-ATT3,false,Art. 6(1)(b),THYSSENKRUPP / MERCEDES LENKUNGEN,2003-10-09,2003-11-10,Merger,M.3152,Council Regulation 4064/89,Simplified procedure,THYSSENKRUPP / MERCEDES LENKUNGEN,2003-11-10,41650,2004-01-30,DecisionType310,Art. 6(1)(b),en,M.3152-DEC41650
M.3155-DEC41652-ATT2,false,Art. 6(1)(b),DEUTSCHE POST / SECURICOR OMEGA HOLDINGS | DEUTSCHE POST / SECURICOR ,2003-05-15,2003-06-19,Merger,M.3155,Council Regulation 4064/89,Normal procedure,DEUTSCHE POST / SECURICOR ,2003-06-19,41652,2003-09-18,DecisionType310,Art. 6(1)(b),en,M.3155-DEC41652
M.3154-DEC41651-ATT3,false,Art. 6(1)(b),SÜD-CHEMIE / SABIC / SCIENTIFIC DESIGN JV,2003-04-03,2003-05-12,Merger,M.3154,Council Regulation 4064/89,Simplified procedure,SÜD-CHEMIE / SABIC / SCIENTIFIC DESIGN JV,2003-05-12,41651,2003-07-19,DecisionType310,Art. 6(1)(b),en,M.3154-DEC41651
M.3151-DEC41649-ATT2,false,Art. 6(1)(b),THYSSENKRUPP / SOFEDIT,2003-04-22,2003-05-27,Merger,M.3151,Council Regulation 4064/89,Normal procedure,THYSSENKRUPP / SOFEDIT,2003-05-27,41649,2003-08-22,DecisionType310,Art. 6(1)(b),en,M.3151-DEC41649
M.3150-DEC41648-ATT2,false,Art. 6(1)(b),SNCF / TRENITALIA / AFA,2003-06-30,2003-08-04,Merger,M.3150,Council Regulation 4064/89,Normal procedure,SNCF / TRENITALIA / AFA,2003-08-04,41648,2003-10-28,DecisionType310,Art. 6(1)(b),en,M.3150-DEC41648
M.224-DEC38206-ATT2,false,Art. 6(1)(b),VOLVO / LEX,1992-04-21,1992-05-21,Merger,M.224,Council Regulation 4064/89,Normal procedure,VOLVO / LEX,1992-05-21,38206,1992-06-04,DecisionType310,Art. 6(1)(b),en,M.224-DEC38206
M.221-DEC38202-ATT2,false,Art. 6(1)(b),ABB / BREL,1992-04-22,1992-05-26,Merger,M.221,Council Regulation 4064/89,Normal procedure,ABB / BREL,1992-05-26,38202,1992-06-04,DecisionType310,Art. 6(1)(b),en,M.221-DEC38202
M.222-DEC38204-ATT2,false,Art. 8(2),MANNESMANN / HOESCH,1992-05-27,1992-11-12,Merger,M.222,Council Regulation 4064/89,Normal procedure,MANNESMANN / HOESCH,1992-11-12,38204,1993-05-08,DecisionType590,Art. 8(2),en,M.222-DEC38204
M.3157-DEC41655-ATT3,false,Art. 6(1)(b),SONAE / ING / ASCENDENTE JV | ING / SONAE / ASCENDENTE JV,2003-04-22,2003-05-27,Merger,M.3157,Council Regulation 4064/89,Simplified procedure,ING / SONAE / ASCENDENTE JV,2003-05-27,41655,2003-07-19,DecisionType310,Art. 6(1)(b),en,M.3157-DEC41655
M.3156-DEC41653-ATT6,false,Art. 6(1)(b),EADS / ASTRIUM (II),2003-04-16,2003-05-26,Merger,M.3156,Council Regulation 4064/89,Normal procedure,EADS / ASTRIUM (II),2003-05-26,41653,2004-03-16,DecisionType310,Art. 6(1)(b),en,M.3156-DEC41653
M.3159-DEC41657-ATT4,false,Art. 6(1)(b),RHEINMETALL / STN ATLAS,2003-06-23,2003-07-25,Merger,M.3159,Council Regulation 4064/89,Normal procedure,RHEINMETALL / STN ATLAS,2003-07-25,41657,2003-08-29,DecisionType310,Art. 6(1)(b),en,M.3159-DEC41657
M.3158-DEC41656-ATT3,false,Art. 6(1)(b),DE AGOSTINI INVEST / TORO ASSICURAZIONI,2003-05-12,2003-06-17,Merger,M.3158,Council Regulation 4064/89,Simplified procedure,DE AGOSTINI INVEST / TORO ASSICURAZIONI,2003-06-17,41656,2003-06-25,DecisionType310,Art. 6(1)(b),en,M.3158-DEC41656
M.229-DEC38211-ATT2,false,Art. 6(1)(b),THOMAS COOK / LTU / WEST LB,1992-06-16,1992-07-14,Merger,M.229,Council Regulation 4064/89,Normal procedure,THOMAS COOK / LTU / WEST LB,1992-07-14,38211,1992-08-06,DecisionType310,Art. 6(1)(b),en,M.229-DEC38211
M.3160-DEC41658-ATT3,false,Art. 6(1)(b),CVC FUNDS / VITERRA | CVC / VITERRA,2003-04-22,2003-05-27,Merger,M.3160,Council Regulation 4064/89,Simplified procedure,CVC FUNDS / VITERRA,2003-05-27,41658,2003-06-26,DecisionType310,Art. 6(1)(b),en,M.3160-DEC41658
M.220-DEC38201-ATT2,false,Art. 6(1)(b),BIBBY / FINANZAUTO,1992-05-25,1992-06-29,Merger,M.220,Council Regulation 4064/89,Normal procedure,BIBBY / FINANZAUTO,1992-06-29,38201,1992-10-23,DecisionType310,Art. 6(1)(b),en,M.220-DEC38201
M.3162-DEC41659-ATT3,false,Art. 6(1)(b),HEARST / DE TELEGRAAF TIJDSCHRIFTEN / JV,2003-05-27,2003-07-01,Merger,M.3162,Council Regulation 4064/89,Simplified procedure,HEARST / DE TELEGRAAF TIJDSCHRIFTEN / JV,2003-07-01,41659,2003-08-29,DecisionType310,Art. 6(1)(b),en,M.3162-DEC41659
M.3161-DEC37921-ATT4,false,Art. 6(1)(b) with conditions & obligations,CVRD / CAEMI,2003-06-12,2003-07-18,Merger,M.3161,Council Regulation 4064/89,Normal procedure,CVRD / CAEMI,2003-07-18,37921,2003-10-08,DecisionType440,Art. 6(1)(b) with conditions & obligations,en,M.3161-DEC37921
M.234-DEC38216-ATT2,false,Art. 6(1)(b),GECC / AVIS,1992-06-12,1992-07-15,Merger,M.234,Council Regulation 4064/89,Normal procedure,GECC / AVIS,1992-07-15,38216,1992-08-08,DecisionType310,Art. 6(1)(b),en,M.234-DEC38216
M.235-DEC38217-ATT2,true,Art. 6(1)(b) with conditions & obligations,ELF AQUITAINE THYSSEN / MINOL AG,1992-08-03,1992-09-04,Merger,M.235,Council Regulation 4064/89,Normal procedure,ELF AQUITAINE THYSSEN / MINOL AG,1992-09-04,38217,1992-09-10,DecisionType440,Art. 6(1)(b) with conditions & obligations,en,M.235-DEC38217
M.232-DEC38214-ATT2,false,Art. 6(1)(b),PEPSI CO / GENERAL MILLS,1992-07-10,1992-08-05,Merger,M.232,Council Regulation 4064/89,Normal procedure,PEPSI CO / GENERAL MILLS,1992-08-05,38214,1992-09-04,DecisionType310,Art. 6(1)(b),en,M.232-DEC38214
M.239-DEC38224-ATT2,false,Art. 6(1)(b),AVESTA / BRITISH STEEL / NCC,1992-08-03,1992-09-04,Merger,M.239,Council Regulation 4064/89,Normal procedure,AVESTA / BRITISH STEEL / NCC,1992-09-04,38224,1992-10-07,DecisionType310,Art. 6(1)(b),en,M.239-DEC38224
M.236-DEC38220-ATT2,false,Art. 6(1)(b),ERICSSON / ASCOM,1992-06-05,1992-07-08,Merger,M.236,Council Regulation 4064/89,Normal procedure,ERICSSON / ASCOM,1992-07-08,38220,1992-08-08,DecisionType310,Art. 6(1)(b),en,M.236-DEC38220
M.3169-DEC41665-ATT3,false,Art. 6(1)(b),BRIDGEPOINT CAPITAL / PERMIRA / HOLMES PLACE,2003-05-23,2003-07-01,Merger,M.3169,Council Regulation 4064/89,Normal procedure,BRIDGEPOINT CAPITAL / PERMIRA / HOLMES PLACE,2003-07-01,41665,,DecisionType310,Art. 6(1)(b),en,M.3169-DEC41665
M.237-DEC38221-ATT2,false,Art. 6(1)(b),DASA / FOKKER,1993-04-02,1993-05-10,Merger,M.237,Council Regulation 4064/89,Normal procedure,DASA / FOKKER,1993-05-10,38221,1993-05-15,DecisionType310,Art. 6(1)(b),en,M.237-DEC38221
M.3175-DEC41671-ATT3,false,Art. 6(1)(b),BEST AGRIFUND / DUMECO,2003-05-26,2003-07-02,Merger,M.3175,Council Regulation 4064/89,Normal procedure,BEST AGRIFUND / DUMECO,2003-07-02,41671,2003-09-30,DecisionType310,Art. 6(1)(b),en,M.3175-DEC41671
M.3174-DEC41670-ATT4,false,Art. 6(1)(b),SCOTTISH & NEWCASTLE / PARFIL,2003-05-12,2003-06-18,Merger,M.3174,Council Regulation 4064/89,Simplified procedure,SCOTTISH & NEWCASTLE / PARFIL,2003-06-18,41670,2003-06-27,DecisionType310,Art. 6(1)(b),en,M.3174-DEC41670
M.3177-DEC41673-ATT3,false,Art. 6(1)(b),BASF / GLON-SANDERS / JV,2003-06-26,2003-07-29,Merger,M.3177,Council Regulation 4064/89,Normal procedure,BASF / GLON-SANDERS / JV,2003-07-29,41673,2003-10-08,DecisionType310,Art. 6(1)(b),en,M.3177-DEC41673
M.3176-DEC41672-ATT3,false,Art. 6(1)(b),DIAGEO / HEINEKEN / OLFILTRA / JV,2003-06-06,2003-07-10,Merger,M.3176,Council Regulation 4064/89,Simplified procedure,DIAGEO / HEINEKEN / OLFILTRA / JV,2003-07-10,41672,2003-08-23,DecisionType310,Art. 6(1)(b),en,M.3176-DEC41672
M.3171-DEC41667-ATT3,false,Art. 6(1)(b),CSC / ROYAL MAIL BUSINESS SYSTEMS | COMPUTER SCIENCES CORPORATION / ROYAL MAIL BUSINESS SYSTEMS,2003-05-06,2003-05-27,Merger,M.3171,Council Regulation 4064/89,Normal procedure,COMPUTER SCIENCES CORPORATION / ROYAL MAIL BUSINESS SYSTEMS,2003-05-27,41667,2003-08-07,DecisionType310,Art. 6(1)(b),en,M.3171-DEC41667
M.3170-DEC41666-ATT3,false,Art. 6(1)(b),SAPA / REMI CLAEYS ALUMINIUM,2003-05-12,2003-06-17,Merger,M.3170,Council Regulation 4064/89,Normal procedure,SAPA / REMI CLAEYS ALUMINIUM,2003-06-17,41666,2004-01-29,DecisionType310,Art. 6(1)(b),en,M.3170-DEC41666
M.3173-DEC41669-ATT4,false,Art. 6(1)(b),EON / FORTUM BURGHAUSEN / SMALAND / EDENDERRY | E.ON / FORTUM BURGHAUSEN / SMALAND / EDENDERRY,2003-05-06,2003-06-13,Merger,M.3173,Council Regulation 4064/89,Normal procedure,E.ON / FORTUM BURGHAUSEN / SMALAND / EDENDERRY,2003-06-13,41669,2003-07-05,DecisionType310,Art. 6(1)(b),en,M.3173-DEC41669
M.3172-DEC41668-ATT3,false,Art. 6(1)(b),FERROVIAL SARVICIOS SA / AMEY PLC | FERROVIAL / AMEY ,2003-04-25,2003-05-27,Merger,M.3172,Council Regulation 4064/89,Normal procedure,FERROVIAL / AMEY ,2003-05-27,41668,2003-07-19,DecisionType310,Art. 6(1)(b),en,M.3172-DEC41668
M.685-DEC38752-ATT4,false,Art. 6(1)(b),SIEMENS / LAGARDERE (MATRA TRANSPORT),1996-01-05,1996-02-08,Merger,M.685,Council Regulation 4064/89,Normal procedure,SIEMENS / LAGARDERE (MATRA TRANSPORT),1996-02-08,38752,1996-03-23,DecisionType310,Art. 6(1)(b),en,M.685-DEC38752
M.686-DEC38753-ATT3,false,Art. 6(1)(b),NOKIA / AUTOLIV,1996-01-03,1996-02-05,Merger,M.686,Council Regulation 4064/89,Normal procedure,NOKIA / AUTOLIV,1996-02-05,38753,1996-03-07,DecisionType310,Art. 6(1)(b),en,M.686-DEC38753
M.202-DEC38179-ATT2,false,Art. 6(1)(b),THORN EMI / VIRGIN,1992-03-20,1992-04-27,Merger,M.202,Council Regulation 4064/89,Normal procedure,THORN EMI / VIRGIN,1992-04-27,38179,1992-05-12,DecisionType310,Art. 6(1)(b),en,M.202-DEC38179
M.683-DEC38750-ATT3,false,Art. 6(1)(b),HERMES EUROPE RAILTEL,1996-02-02,1996-03-05,Merger,M.683,Council Regulation 4064/89,Normal procedure,HERMES EUROPE RAILTEL,1996-03-05,38750,1996-06-01,DecisionType310,Art. 6(1)(b),en,M.683-DEC38750
M.689-DEC38756-ATT4,false,Art. 6(1)(b),ADSB / BELGACOM,1996-01-26,1996-02-29,Merger,M.689,Council Regulation 4064/89,Normal procedure,ADSB / BELGACOM,1996-02-29,38756,1996-07-05,DecisionType310,Art. 6(1)(b),en,M.689-DEC38756
M.3178-DEC42333-ATT10,false,Art. 8(1),BERTELSMANN / SPRINGER / JV,2004-11-04,2005-05-03,Merger,M.3178,Council Regulation 139/2004,Normal procedure,BERTELSMANN / SPRINGER / JV,2005-05-03,42333,2006-03-02,DecisionType20682,Art. 8(1),en,M.3178-DEC42333
M.3178-DEC42333-ATT12,false,Art. 8(1),BERTELSMANN / SPRINGER / JV,2004-11-04,2005-05-03,Merger,M.3178,Council Regulation 139/2004,Normal procedure,BERTELSMANN / SPRINGER / JV,2005-05-03,42333,2006-03-02,DecisionType20682,Art. 8(1),en,M.3178-DEC42333
M.3178-DEC42333-ATT9,false,Art. 8(1),BERTELSMANN / SPRINGER / JV,2004-11-04,2005-05-03,Merger,M.3178,Council Regulation 139/2004,Normal procedure,BERTELSMANN / SPRINGER / JV,2005-05-03,42333,2006-03-02,DecisionType20682,Art. 8(1),en,M.3178-DEC42333
M.206-DEC38183-ATT2,false,Art. 6(1)(b),RHONE-POULENC / SNIA,1992-07-08,1992-08-10,Merger,M.206,Council Regulation 4064/89,Normal procedure,RHONE-POULENC / SNIA,1992-08-10,38183,1992-08-18,DecisionType310,Art. 6(1)(b),en,M.206-DEC38183
M.207-DEC38184-ATT2,false,Art. 6(1)(a),EUREKO,1992-03-20,1992-04-27,Merger,M.207,Council Regulation 4064/89,Normal procedure,EUREKO,1992-04-27,38184,1992-05-01,DecisionType300,Art. 6(1)(a),en,M.207-DEC38184
M.3185-DEC41680-ATT3,false,Art. 6(1)(b),VICTOR RIJSSEN / KON. VOLKER WESSELS STEVIN,2003-05-14,2003-06-18,Merger,M.3185,Council Regulation 4064/89,Simplified procedure,VICTOR RIJSSEN / KON. VOLKER WESSELS STEVIN,2003-06-18,41680,2003-06-27,DecisionType310,Art. 6(1)(b),en,M.3185-DEC41680
M.3188-DEC41683-ATT3,false,Art. 6(1)(b),ADM / VDBO | PURA FOODS / VAN DEN BERGH OILS,2003-06-27,2003-07-31,Merger,M.3188,Council Regulation 4064/89,Normal procedure,ADM / VDBO,2003-07-31,41683,2003-10-02,DecisionType310,Art. 6(1)(b),en,M.3188-DEC41683
M.3187-DEC41682-ATT3,false,Art. 6(1)(b),ENTE VASCO DE LA ENERGIA / HIDROCANTABRICO / NATURCORP,2003-05-15,2003-06-19,Merger,M.3187,Council Regulation 4064/89,Simplified procedure,ENTE VASCO DE LA ENERGIA / HIDROCANTABRICO / NATURCORP,2003-06-19,41682,2003-07-01,DecisionType310,Art. 6(1)(b),en,M.3187-DEC41682
M.3182-DEC41677-ATT4,false,Art. 6(1)(b),SCOTTISH & NEWCASTLE / HP BULMER,2003-05-26,2003-06-30,Merger,M.3182,Council Regulation 4064/89,Normal procedure,SCOTTISH & NEWCASTLE / HP BULMER,2003-06-30,41677,2003-08-07,DecisionType310,Art. 6(1)(b),en,M.3182-DEC41677
M.681-DEC38748-ATT4,false,Art. 6(1)(a),RB OF SCOTLAND / BANK OF IRELAND,1996-01-03,1996-02-05,Merger,M.681,Council Regulation 4064/89,Normal procedure,RB OF SCOTLAND / BANK OF IRELAND,1996-02-05,38748,1996-02-27,DecisionType300,Art. 6(1)(a),en,M.681-DEC38748
M.3184-DEC41679-ATT4,false,Art. 6(1)(b),WOLSELEY / PINAULT BOIS & MATERIAUX ,2003-06-02,2003-07-03,Merger,M.3184,Council Regulation 4064/89,Normal procedure,WOLSELEY / PINAULT BOIS & MATERIAUX ,2003-07-03,41679,2003-09-18,DecisionType310,Art. 6(1)(b),en,M.3184-DEC41679
