case_caseNumber,case_caseSectors_code,case_caseSectors_label,case_caseSectors_code_level1,case_caseSectors_code_level2,case_caseSectors_code_level3,has_keyword_hit
M.10031,NaceSectorsD_35_1,"D.35.1 - Electric power generation, transmission and distribution",NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_1,0
M.10031,NaceSectorsE_38,"E.38 - Waste collection, treatment and disposal activities; materials recovery",NaceSectorsE,NaceSectorsE_38,NaceSectorsE_38,0
M.10032,NaceSectorsJ_62_0,"J.62.0 - Computer programming, consultancy and related activities",NaceSectorsJ,NaceSectorsJ_62,NaceSectorsJ_62_0,0
M.10033,NaceSectorsD_35_1_1,D.35.11 - Production of electricity,NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_1,0
M.10034,NaceSectorsC_16,"C.16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",NaceSectorsC,NaceSectorsC_16,NaceSectorsC_16,0
M.10034,NaceSectorsC_16_2,"C.16.2 - Manufacture of products of wood, cork, straw and plaiting materials",NaceSectorsC,NaceSectorsC_16,NaceSectorsC_16_2,0
M.10034,NaceSectorsC_16_2_1,C.16.21 - Manufacture of veneer sheets and wood-based panels,NaceSectorsC,NaceSectorsC_16,NaceSectorsC_16_2,0
M.10035,NaceSectorsL_68_2_0,L.68.20 - Rental and operating of own or leased real estate,NaceSectorsL,NaceSectorsL_68,NaceSectorsL_68_2,0
M.10036,NaceSectorsJ_62_0,"J.62.0 - Computer programming, consultancy and related activities",NaceSectorsJ,NaceSectorsJ_62,NaceSectorsJ_62_0,0
M.10037,NaceSectorsC_20_1_6,C.20.16 - Manufacture of plastics in primary forms,NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20_1,0
M.10037,NaceSectorsE_38_3_2,E.38.32 - Recovery of sorted materials,NaceSectorsE,NaceSectorsE_38,NaceSectorsE_38_3,0
M.10038,NaceSectorsM_70_2_2,M.70.22 - Business and other management consultancy activities,NaceSectorsM,NaceSectorsM_70,NaceSectorsM_70_2,0
M.10038,NaceSectorsN_78_3,N.78.3 - Other human resources provision,NaceSectorsN,NaceSectorsN_78,NaceSectorsN_78_3,0
M.10038,NaceSectorsN_80,N.80 - Security and investigation activities,NaceSectorsN,NaceSectorsN_80,NaceSectorsN_80,0
M.10038,NaceSectorsN_80_1,N.80.1 - Private security activities,NaceSectorsN,NaceSectorsN_80,NaceSectorsN_80_1,0
M.10038,NaceSectorsN_80_2,N.80.2 - Security systems service activities,NaceSectorsN,NaceSectorsN_80,NaceSectorsN_80_2,0
M.10038,NaceSectorsN_81_2,N.81.2 - Cleaning activities,NaceSectorsN,NaceSectorsN_81,NaceSectorsN_81_2,0
M.10039,NaceSectorsC_16_2_1,C.16.21 - Manufacture of veneer sheets and wood-based panels,NaceSectorsC,NaceSectorsC_16,NaceSectorsC_16_2,0
